,Carats,Name,Country,Mine,Date,Current owner
0,3167,Sergio (carbonado),"Brazil, possibly from outer space.",Found above ground in Lençóis,1895,"Eventually sold to I. K. Gulland of London, where it was broken up into small pieces as industrial diamond drills."
1,3106.75,Cullinan Diamond,South Africa,Premier Mine,1905,British Crown (I and II) and Charles III (III–IX)
2,1758,Sewelô,Botswana,Karowe Mine,2019,Louis Vuitton
3,1174,Lucara Diamond,Botswana,Karowe Mine,2021,unknown
4,1111,Lesedi La Rona,Botswana,Karowe Mine,2015,Graff Diamonds
5,1098,unknown,Botswana,Jwaneng Mine,2021,Debswana
6,1080,unknown,Botswana,Karowe Mine,2023,unknown
7,998,unknown,Botswana,Karowe Mine,2020,unknown
8,995.20,Excelsior Diamond,South Africa,Jagersfontein Mine,1893,Robert Mouawad
9,968.9,Star of Sierra Leone,Sierra Leone,Diminco Mine,1973,Harry Winston
10,910,Lesotho Legend,Lesotho,Letseng Mine,2018,Samir Gems and Taché Diamonds
11,890,Incomparable Diamond,Democratic Republic of the Congo,Societé Minière de Bakwanga,1984,Louis Glick
12,813,The Constellation,Botswana,Karowe Mine,2015,Nemesis International DMCC
13,793,Koh-i-Noor,India,Kollur Mine,13th Century,British Crown
14,780,Great Mogul Diamond,India,unknown,unknown,unknown
15,777,Millennium Star,Democratic Republic of the Congo,Mbuji-Mayi,1990,De Beers
16,770,The Woyie River,Sierra Leone,Woyie River,1945,unknown
17,755.5,The Golden Jubilee,South Africa,Premier Mine,1985,Government of Thailand
18,726.6,The Vargas,Brazil,San Antonio River,1938,unknown
19,726,The Jonker,South Africa,Elandsfontein,1934,unknown
20,709,Peace Diamond,Sierra Leone,Artisanal mine,2017,Graff Diamonds (bought for US$6.5m)
21,692.3,unknown,Botswana,Karowe Mine,2023,unknown
22,650.8,The Jubilee,South Africa,Jagersfontein Mine,1895,Robert Mouawad
23,620,The Sefadu,Sierra Leone,Diminco Mine,1970,Lazare Kaplan
24,616,The Kimberley Octahedron,South Africa,Dutoitspan Mine,1974,De Beers
25,603,Lesotho Promise,Lesotho,Letseng Mine,2006,Graff Diamonds
26,602,Santo Antônio,Brazil,Santo Antonio do Bonito River,1994,unknown
27,601,Lesotho Brown,Lesotho,Letseng Mine,1967,unknown
28,600,Goias,Brazil,Verissimo River,1906,unknown
29,599,Centenary,South Africa,Premier Mine,1986,unknown
30,587,Spirit of de Grisogono,Central African Republic,unknown,unknown,unknown
31,581,Wynn,Brazil,Amazon River,2002,unknown
32,552.74,unknown,Canada,Diavik Mine,2018,unknown
33,550,Letseng Star,Lesotho,Letseng Mine,2011,unknown
34,549,Sethunya,Botswana,Karowe Mine,2020,Lucara Diamond
35,507,Cullinan Heritage,South Africa,Cullinan Diamond Mine (fmr. Premier Mine),2009,Chow Tai Fook Jewellery
36,493.24,Letseng Legacy,Lesotho,Letseng Mine,2007,SAFDICO (Graff Jewellers)
37,490,The Kimberley,South Africa,Kimberley Mine,1921,unknown
38,478[citation needed],Light of Letseng,Lesotho,Letseng Mine,2008,unknown
39,476.7,Meya Prosperity,Sierra Leone,Meya Mine,2017,unknown
40,472.37,unknown,Botswana,Karowe Mine,2018,Top light brown. Sold June 2018
41,470,unknown,Botswana,Karowe Mine,2021,Top light brown.
42,460.2,unknown,South Africa,Cullinan Diamond Mine (fmr. Premier Mine),2009,unknown
