,Name,Uncutweight(carat),Cutweight(carat),Color,Country/region of origin,Description
0,26th Congress of the Communist Party of the Soviet Union[6][7],342.57,,yellow,Russia / USSR,"Mined at theMir kimberlitic pipe(Yakutia,Russia) in 1980. It is the largestgem diamondever found inRussiaor the formerUSSR. It is the size of a pigeon's egg and is currently kept (as of 2016) in theRussian Diamond Fund(Moscow Kremlin)."
1,4 February Stone (The Art of de GRISOGONO)[8],404.2,163.41[9],white,Angola,"27th largest white diamond found (at that time), and largest diamond from Angola, the 404 carats (80.8 g) 4 February diamond was found in early February 2016, and was cut into a 163 carats (32.6 g) flawless D-color emerald-shaped stone."
2,Akbar Shah,116,71.7,colorless,India,"An Indian diamond which became famous during the days of theMughal Empire. A diamond with a roughly pear-shaped outline and random faceting, including twoPersianinscriptions, the first reading ""Shah Akbar, the Grand King, 1028 A.H."" (the letters meanAnno Hegirae). The second inscription read ""To the Lord of Two Worlds, 1039 A.H.Shah Jehan"". The diamond was reportedly part of the originalPeacock Throne. Purchased in 1886 inIstanbulby London merchantGeorge Blogg, who re-cut it from 116 carats (23.2 g) to a pear-shape of 71.70 carats (14.340 g), thus destroying the historic inscriptions. Blogg sold the stone in 1887 to Malhar Rao Gaekwad of Baroda, India who was the last known owner and the stone's whereabouts are presently unknown."
3,Alexander Pushkin[6][7],320.65,,colorless,Russia / USSR,"Mined at theUdachnaya kimberlitic pipe(Yakutia,Russia) in 1989. It is the second largestgem diamondever found inRussiaor the formerUSSRand is currently kept (as of 2016) in theRussian Diamond Fund(Moscow Kremlin.)"
4,Allnatt Diamond,,101.29,yellow,South Africa (disputed),"A 101.29-carat (20.258 g) antique cushion-shaped brilliant fancy vivid yellow diamond which is believed to have been found in thePremier minein theSouth African Republic. It got the name Allnatt[10]after one of its owners,Major Alfred Ernest Allnatt. The diamond was sold for a little more than $3 million atChristie'sauction in Geneva in May 1996."
5,Amarillo Starlight,16.37,7.54,colorless,United States,"The largest diamond found by a park visitor in theCrater of Diamonds State Parkin Arkansas since 1972, when it was established as a state park. It was found by W. W. Johnson of Amarillo, Texas in 1975 and was a 16.37 carats (3.27 g) white diamond, but it has since been cut into a 7.54 carats (1,510 mg) marquise shape."
6,Amsterdam Diamond,,33.74,black,Africa,"A 33.74 carat (6.748 g) pear-shapedblack diamondwhich sold for $352,000 in 2001."
7,Archduke Joseph,78.54,76.02,colorless,India,"Historical cushion-shaped, D colour, internallyflawlessGolcondadiamond, sold on 13 November 2012 by Christies to an anonymous buyer forUS$21.4M.[11]"
8,Argyle Pink Jubilee,12.76,8.01,pink,Australia,Argyle Pink Jubilee[12]is the largest pink diamond ever found in Australia weighing 12.76 carats. The diamond was found in Western Australia inArgyle Minewho is the largest producer of pink diamonds in the world.
9,Ashberg Diamond,,102.48,amber,South Africa,102.48 carats (20.496 g)
10,Aurora Butterfly of Peace,,,,RussiaSouth AfricaBrazilAustralia,A display of 240 fancy-colored diamonds.
11,Aurora Pyramid of Hope,,,,,A display of 296 diamonds of natural colors.
12,Beau Sancy,,34.98,colorless,India,"A 34.98-carat (6.996 g)[13]pear-shaped diamond, which sold for US$10 million in 2012.[14]Not to be confused with theSancy."
13,Black Orlov,195,67.50,black,India,"A 67.50-carat (13.500 g) cushion-cutblack diamond, also called theEye of Brahma Diamond."
14,Blue Moon of Josephine,29.6,12.03,blue,South Africa,"Found in the Cullinan mine in 2014, cushion-shaped, and originally named the 'Blue Moon' diamond. Purchased for a record breaking 48.6 millionSwiss francs(US48.4 million) at aSotheby'sauction inGenevaon 11 November 2015 by the Hong Kong tycoonJoseph Lau. He renamed it ""The Blue Moon of Josephine"" in honor of his daughter. The previous day he had bought the 'Sweet Josephine' diamond for her.[15][16]"
15,Briolette of India,,90.38,colorless,India (See article),"90.38 carats (18.076 g) - cut by Cartier around 1910. Thought to have been owned byEleanor of Aquitainein the early 12th century, by KingRichard the Lion Heartwho carried it during thethird crusade, and KingHenry II of France, which makes the Briolette of India the oldest diamond on record in the world, even older than the famousKoh-i-Noor.[17]"
16,Brunswick Blue,,44.25,blue,,May be a part of theTavernier Blue.[18]
17,Centenary Diamond,599,273.85,colorless,South Africa,"273.85 carats (54.770 g), modified heart-shaped brilliant, the world's largest colorless (grade D),flawless diamond."
18,Chloe Diamond,,84.37,colorless,Angola,"Sold in November 2007 atSotheby'sinGenevato Georges Marciano of theGuessclothing line for 18.2 millionSFr, the second-highest price ever paid for a diamond at auction.[19]"
19,Cora Sun-Drop Diamond,,110.03,yellow,South Africa,"Largest known pear-shape fancy vivid yellow diamond, found in South-Africa[20][21]"
20,Creator[6][7],298.48,,colored,Russia,"Found in aplacer miningfactory in theLower Lena Riverarea,Yakutia, in 2004. It is the third largestgem diamondever found inRussiaor the formerUSSRand is currently kept (as of 2016) in theRussian Diamond Fund(Moscow Kremlin.)"
21,Cross of Asia,280,79.12,yellow,South Africa,"Discovered in 1902 at theJagersfontein Mineas a 280-carat (56 g) crystal. The first cut was to 142 carats (28.4 g); it was then cut three more times until, in 1993, it was a 79.12 carats (15.824 g) radiant-cut with table facets that resemble a Maltese cross.[22]"
22,Cullinan Diamond,3106.75,,colorless,South Africa,"Discovered in 1905, the Cullinan is, at 3106.75 carats (621.35 g), the largest rough gem-quality diamond ever found. It was cut into 105 diamonds including the Cullinan I or the Great Star of Africa, 530.2 carats (106.04 g), and the Cullinan II or the Lesser Star of Africa, 317.4 carats (63.48 g), both of which are now part of theBritish Crown Jewels."
23,Cullinan I,3106.75,530.4,colorless,South Africa,The largest stone obtained from Cullinan diamond. Cullinan I or Great Star of Africa with weight of 530.4 carats it is the second largest cut diamond in the world. Currently located in the head of the Sceptre of the British Crown JewelsBritish Royal family.
24,Cullinan II,3106.75,317.4,colorless,South Africa,"The second largest stone obtained from Cullinan diamond. Cullinan II or Second Star of Africa with weight of 317.4 carats is also one of the largest cut diamonds in the world. As Cullinan I, it is also in the British crown jewels located in the Imperial State CrownBritish Royal family."
25,Cullinan III,3106.75,94.4,colorless,South Africa,"The third largest stone obtained from Cullinan diamond. Cullinan III or Lesser Star of Africa with weight of 94.4 carats is also part of the British crown jewelsBritish Royal family. No longer mounted in any of the crowns, it is frequently worn in combination with Cullinan IV as a brooch."
26,Daria-i-Noor,,182,pink,India,"The largest pink diamond in the world, approximately 182 carats (36.4 g), originally from India but now part ofIranian Crown Jewels. Its exact weight is not known; 182 carats (36.4 g) is an estimate."
27,DeBeers Diamond,440,234.5,,South Africa,Discovered in 1888.[23]
28,Deepdene,,104.52,yellow,South Africa,"Widely considered to be the largestartificially irradiated diamondin the world, at 104.52 carats (20.904 g)."
29,DeYoung Red Diamond,,5.03,brownish-red,South Africa,"Weighing 5.03 carats (1.006 g), the third-largest known red diamond GIA graded as ""fancy dark reddish brown"", was bought in a flea market on a hatpin by Sidney deYoung a prominent Boston estate jewelry merchant. It was donated by him to theSmithsonian InstitutionNational Museum of Natural History."
30,Dresden Green Diamond,,40.70,green,India,41-carat (8.2 g) antique pear-shaped brilliant - its color is the result of natural irradiation
31,Eagle Diamond,ab. 16,,,United States,
32,Earth Star Diamond,248.9,111.59,brown,South Africa,a 111.59-carat (22.318 g) pear-shaped diamond with a strong coffee-like brown color.
33,Empress Eugénie,~100,51,,Brazil,"51-carat (10.2 g) oval-shaped brilliant diamond, perfectly cut."
34,English Dresden,119.5,76.5,,Brazil,Found in 1857[24]
35,The Enigma,-,555.55,black,either Brazil or the Central African Republic,"A 555-carat black diamond, cut to have 55 sides, is currently the largest cut diamond on Earth. It went on sale in Sotheby's in February 2022. Sotheby's claims that it may originate from a meteor, though this claim is disputed.[25][26][27]"
36,Esperanza Diamond,8.52,4.602,D IF,United States,"Discovered in 2015, it is the 5th largest diamond ever discovered at theCrater of Diamonds State Park,ArkansasIdentified as a Type IIa crystal, the 8.52 carat diamond was cut and polished byMike Bothainto a custom-designed 4.605 carat Triolette shape during a week long event inNorth Little Rockand was graded a D IF, 0 Polish & 0 Symmetry by theAmerican Gem SocietyLaboratories- making it the most valuableAmericandiamond."
37,Eureka Diamond,21.25,10.73,yellow-brown,South Africa,"the first diamond found inSouth Africa, a yellow-brown 21.25-carat (4.250 g) stone (before cutting) resulting in a finished diamond 10.73 carats (2.146 g)."
38,Excelsior Diamond,995.2[28],,colorless,South Africa,"The largest known diamond in the world prior to the Cullinan at 970 carats (194 g), it was later cut into 10 pieces of various sizes (13–68 carats)."
39,Florentine Diamond,,137.27,yellow,India,"A lost diamond, light yellow with a weight of 137.27 carats (27.45 g)."
40,Fortuna Diamond,,26.29,colourless,India,"A cushion-shaped diamond set into a pendant with a 0.75ct Argyle pink diamond, and 4.5 carats of Argyle pinks. The stone has been given a name to fit its history, rarity and setting – the Fortuna Diamond. Classified as a Type 2A[29]with a colour grade of I and clarity grade of VVS2.[30]"
41,Fortune Pink,,18.18,pink,Brazil,"Pear-shaped fancy vivid pink diamond sold for 28.4 million Swiss francs ($28.8 million), including fees and taxes, in 2022. It had been mined in Brazil over 15 years ago.[31]"
42,French Blue (or Tavernier Blue before its cut),112,69,blue,India,"(Stolen during French Revolution) Largest blue diamond allegedly discovered up to this date before its cut, it was faceted by Jean Pittan to be the mainFrench Crown Jewel. Stolen, and then almost certainly cut into theHope Diamond."
43,Golden Dawn,133,61.5,,South Africa / Vaal River,"Found in 1913, cut into an American cut brilliant.[32]"
44,Golden Eye Diamond,,43.51,yellow,South Africa,"A large, radiant-cut fancy intense yellow diamond (43.5 carats)."
45,Golden Jubilee Diamond,755.5,545.67,yellow-brown,South Africa,"The Unnamed Brown as originally named, the Golden Jubilee[33]is the largest faceted diamond ever cut at 545.67 carats (109.13 g), outweighing Cullinan I by 15.27 carats"
46,Graff Lesedi La Rona,1111,302.37,colourless,Botswana,"A 302.37 caratD colorhigh-clarityemerald cutdiamond. It is the main stone cut from theLesedi La Rona, bought by Graff in 2017 and cut in 2019. The cutting of the rough stone also produced 66 smaller stones. According to Graff, the stone is the ""largest highest clarity, highest color diamond ever graded by the Gemological Institute of America (GIA)"".[34][35]"
47,Graff Pink,,24.78,pink,India,"24.78-carat (4.956 g) A 24.78-carat Fancy Intense Pink diamond and, until the sale of the Sweet Josephine diamond in November 2015, it was the most expensive jewel ever sold at auction. Previously owned by Harry Winston and an unnamed private collector, and bought byLaurence Graff(November 2010).[36]"
48,Grand Condé,,9.01,pink,India,"A rare light pink pear-shaped diamond of 9.0, sold byJean-Baptiste Tavernierto KingLouis XIII of France, who probably gave it toLouis, Grand Condé"
49,Great Chrysanthemum Diamond,,104.15,orange-brown,South Africa,104.15 carats (20.830 g).
50,Great Mogul Diamond,780,280,,India,"Fabled 280-carat (56 g) mogul-cut diamond, now lost, although presumed by historians to have been re-cut as theOrlov."
51,Gruosi Diamond,300.12,115.34,black,India,"A heart-shapedblack diamond, weighing 115.34 carats (23.068 g).[37]"
52,Heart of Eternity Diamond,,27.64,blue,South Africa,"Perhaps the largest fancy vivid blue, weighing 27.64 carats (5.528 g)."
53,Hope Diamond,112,45.52,blue,India,"45.52 carats (9.104 g), is a Fancy Dark Grayish-Blue diamond and supposedly cursed. Almost certainly cut from theFrench BlueDiamond. Part of the Smithsonian Collection."
